Stage,Match_ID,Date,Team1,Team2,Prob_T1,Prob_Draw,Prob_T2,RF_Prob_T1,RF_Prob_Draw,RF_Prob_T2,XGB_Prob_T1,XGB_Prob_Draw,XGB_Prob_T2,ANN_Prob_T1,ANN_Prob_Draw,ANN_Prob_T2,Winner,Loser
Group C,,25.06.2026,Morocco,Haiti,62.01333333333333,18.98,19.006666666666664,63.839999999999996,18.23,17.93,64.03999999999999,20.26,15.7,58.160000000000004,18.45,23.39,Morocco,Haiti
Group A,,25.06.2026,Czechia,Mexico,38.693333333333335,24.183333333333334,37.123333333333335,43.41,26.900000000000002,29.69,28.860000000000003,24.740000000000002,46.400000000000006,43.81,20.91,35.28,Czechia,Mexico
Group A,,25.06.2026,South Africa,South Korea,18.319999999999997,19.576666666666668,62.10333333333333,16.11,18.73,65.16,17.02,21.19,61.79,21.83,18.81,59.36,South Korea,South Africa
Group E,,25.06.2026,Ecuador,Germany,25.45,25.03333333333333,49.51666666666667,23.86,29.38,46.760000000000005,21.349999999999998,25.259999999999998,53.39,31.14,20.46,48.4,Germany,Ecuador
Group E,,25.06.2026,Curacao,Cote Divoire,18.976666666666663,19.189999999999998,61.833333333333336,14.04,18.48,67.47999999999999,18.08,20.57,61.35,24.81,18.52,56.67,Cote Divoire,Curacao
Group F,,26.06.2026,Tunisia,Netherlands,14.61,17.793333333333333,67.59666666666668,10.57,15.010000000000002,74.42,13.389999999999999,19.939999999999998,66.67,19.869999999999997,18.43,61.7,Netherlands,Tunisia
Group F,,26.06.2026,Japan,Sweden,41.88666666666666,22.8,35.31333333333333,44.48,22.009999999999998,33.51,46.29,26.13,27.58,34.89,20.26,44.85,Japan,Sweden
Group D,,26.06.2026,Turkiye,USA,36.37,23.683333333333337,39.946666666666665,34.79,25.69,39.519999999999996,31.919999999999998,26.1,41.980000000000004,42.4,19.259999999999998,38.34,USA,Turkiye
Group D,,26.06.2026,Paraguay,Australia,27.853333333333335,22.176666666666666,49.97,26.07,22.59,51.339999999999996,26.150000000000002,23.16,50.690000000000005,31.34,20.78,47.88,Australia,Paraguay
Group I,,26.06.2026,Norway,France,27.406666666666666,24.150000000000002,48.44333333333333,27.67,26.669999999999998,45.660000000000004,21.58,23.48,54.94,32.97,22.3,44.73,France,Norway
Group I,,26.06.2026,Senegal,Iraq,61.29333333333333,19.539999999999996,19.166666666666668,66.08000000000001,17.06,16.86,59.089999999999996,21.9,19.009999999999998,58.709999999999994,19.66,21.63,Senegal,Iraq
Group H,,27.06.2026,Uruguay,Spain,19.096666666666668,20.893333333333334,60.01,16.99,21.61,61.4,18.01,21.95,60.040000000000006,22.29,19.12,58.589999999999996,Spain,Uruguay
Group H,,27.06.2026,Cape Verde,Saudi Arabia,36.97,24.143333333333334,38.88666666666666,35.11,27.26,37.63,40.01,23.64,36.35,35.79,21.529999999999998,42.68,Saudi Arabia,Cape Verde
Group G,,27.06.2026,Egypt,Iran,37.300000000000004,24.276666666666667,38.42333333333334,36.78,24.48,38.74,36.83,27.02,36.15,38.29,21.33,40.38,Iran,Egypt
Group G,,27.06.2026,New Zealand,Belgium,14.180000000000001,19.223333333333333,66.59666666666668,9.51,19.8,70.69,13.23,19.43,67.34,19.8,18.44,61.760000000000005,Belgium,New Zealand
