tournament_name,Home_Big_Chances_5,Home_Shots_5,Home_Shots_on_Target_5,Home_touches_in_penalty_area_5,Home_big_chances_last_5,Home_final_third_entries_last_5,Home_touches_in_penalty_area_last_5,Home_wins_last_5,Home_goals_last_5,Home_conceded_last_5,Home_gd_last_5,Away_Big_Chances_5,Away_Shots_5,Away_Shots_on_Target_5,Away_touches_in_penalty_area_5,Away_big_chances_last_5,Away_final_third_entries_last_5,Away_touches_in_penalty_area_last_5,Away_wins_last_5,Away_goals_last_5,Away_conceded_last_5,Away_gd_last_5,Home_elo,Away_elo,ELO_diff
World Cup,,,,,,23.333333333333336,,,,,,,,,,0.0,34.66666666666667,,,,,,1501.4099982616099,1500.1027581790675,1.307240082542421
Qualifiers,,15.0,5.333333333333333,,1.0,145.22222222222223,,,,,,2.3333333333333335,8.6,3.2,,1.3875132788859807,86.81050013077653,,0.0,3.0,9.0,-6.0,1517.0190886877588,1437.4530244349342,79.56606425282462
Qualifiers,2.5,15.6,6.8,,2.2953422863497552,140.40906516433625,,2.0,13.0,8.0,5.0,4.0,17.4,8.8,,7.584356494888427,113.55345497744185,,4.0,19.0,1.0,18.0,1761.292161350635,1887.519649176741,-126.22748782610597
Major Continental,,17.25,8.0,34.0,,,66.22222222222223,,,,,0.8,8.0,2.4,,1.183119104472557,138.96590966824166,,0.0,4.0,13.0,-9.0,1510.4415053703412,1472.523375149105,37.9181302212362
Major Continental,0.75,9.25,3.25,16.0,0.2194787379972567,126.91464715744553,16.0,0.0,2.0,9.0,-7.0,1.6666666666666667,9.666666666666666,3.6666666666666665,,1.5555555555555558,62.8888888888889,,,,,,1452.8622809387614,1499.1995847010628,-46.33730376230142
Major Continental,0.5,7.2,1.4,7.0,0.7887460696483715,134.6439397788278,7.0,0.0,2.0,10.0,-8.0,3.4,14.4,5.0,59.0,3.621449982218159,206.20848222098036,59.0,3.0,9.0,1.0,8.0,1473.6104341331086,1625.201602052334,-151.59116791922543
Major Continental,1.8,7.8,2.6,,2.6419753086419755,116.96296296296298,,2.0,4.0,5.0,-1.0,,,,,0.6666666666666667,69.33333333333334,,,,,,1386.819032672617,1491.5600798786243,-104.74104720600735
Major Continental,2.25,12.5,4.5,,2.093093432133891,134.37840575592276,,2.0,9.0,5.0,4.0,2.5,14.6,4.2,,2.2700638452810384,209.90987146268358,,3.0,12.0,9.0,3.0,1723.128904840444,1545.4032741784927,177.7256306619513
Major Continental,2.8,14.0,4.4,45.0,3.4142999881454394,218.4723214806536,70.33333333333334,4.0,10.0,1.0,9.0,,16.6,6.8,31.5,,76.0,68.14814814814815,4.0,12.0,1.0,11.0,1631.0957535599239,1509.3544463863377,121.74130717358616
Major Continental,0.5,7.2,1.0,7.5,0.5258307130989144,125.76262651921853,12.666666666666668,0.0,1.0,10.0,-9.0,,,,1.0,0.0,23.0,1.0,,,,,1467.7162826255187,1493.2839559941622,-25.567673368643455
Major Continental,2.5,10.4,3.0,18.0,1.8980338363054416,113.79378143575677,18.0,4.0,6.0,3.0,3.0,1.0,9.0,1.2,19.0,1.3505538087326097,149.84175101281238,50.44444444444444,1.0,2.0,7.0,-5.0,1656.3508982774338,1478.4508538894208,177.90004438801293
Major Continental,2.4,12.0,3.0,31.0,5.18413332806464,184.4321428802905,60.259259259259274,4.0,10.0,1.0,9.0,,,,41.0,1.062622191362729,144.21504927169715,41.0,3.0,11.0,6.0,5.0,1634.2092667892532,1627.1168405653257,7.092426223927532
